CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IASNO,16 1/2 Mile Lake,und,Undetermined,,Lake,Water Feature,LAKE,96b3b559c6cb11d892e2080020a0f4c9,52.7086111,-117.9111111,,Alberta,50000,2002-09-21,AB-Ministry of Culture and Status of Women
IASKY,3 Channels Area,und,Undetermined,,Channel,Water Feature,RIV,0cadee42849c20c3720fa00943b2bd5d,56.7513889,-110.5250000,26-89-4-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLL,49 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf192849c20c37fc96b661f70d643,56.3050000,-110.8905556,"21,28-84-6-W4",Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLJ,51 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf110849c20c379b76a56fd1654d6,56.3138889,-110.9436111,30-84-6-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLM,54 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf1d3849c20c337cb903525c1ad2c,56.3522222,-110.9894444,2-11-85-7-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLK,55 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf150849c20c317a686a4a08e391a,56.3661111,-110.9938889,14-85-7-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IBACK,ɂejere K'elni Kųe 196I,und,Undetermined,,Indian Reserve,Administrative Area,IR,82cc9304ee064ae68d45d70858b0ef59,59.5252780,-111.4761110,,Alberta,50000,2009-12-14,Indigenous Services Canada
IASTP,A-H Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cae0f3a849c20c34e38129276e2a29a,57.7605555,-112.5772222,17-101-16-W4,Alberta,50000,1991-09-23,AB-Ministry of Culture and Status of Women
IAPUY,Abbot Pass,und,Undetermined,,Pass,Terrain Feature,VALL,75133bebba3411d892e2080020a0f4c9,51.3638889,-116.2872222,28-17-W5,Alberta,50000,1952-04-03,AB-Ministry of Culture and Status of Women
IATZR,Abbot Pass Refuge Cabin National Historic Site of Canada,und,Undetermined,,National Historic Site,Administrative Area,PARK,73e3204cba3411d892e2080020a0f4c9,51.3636110,-116.2891700,,Alberta,1000000,2001-01-12,Parks Canada
IAPVA,Abbott Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89a9f1849c20c316cdebb1c251facf,53.9172223,-118.9980556,57-7-W6,Alberta,50000,1947-09-04,AB-Ministry of Culture and Status of Women
IAECP,Abee,und,Undetermined,,Hamlet,Populated Place,UNP,0c841a31849c20c322b15794ef462391,54.2377778,-113.0277778,1-61-21-W4,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IAQVM,Aberdeen Glacier,und,Undetermined,,Glacier,Ice and Snow Feature,GLAC,8affa514c6cb11d892e2080020a0f4c9,51.3847223,-116.2430556,,Alberta,50000,1985-01-21,AB-Ministry of Culture and Status of Women
IAPVD,Abilene,und,Undetermined,,Locality,Populated Place,UNP,0cffd6c5849c20c34f5d9ccee4f349ec,54.1083333,-111.4861111,18-59-10-W4,Alberta,250000,1950-07-06,AB-Ministry of Culture and Status of Women
IAECR,Abraham Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c841ad5849c20c30a140ce52972183b,52.2236111,-116.4272222,"37,38-17,18-W5",Alberta,1000000,1975-10-30,AB-Ministry of Culture and Status of Women
IAPVF,Academy,und,Undetermined,,Locality,Populated Place,UNP,0c89aa71849c20c3e1968309eed9bb24,50.8566667,-114.0402778,10-22-1-W5,Alberta,250000,1940-01-19,AB-Ministry of Culture and Status of Women
IAPVH,Acadia,und,Undetermined,,Former Locality,Populated Place,UNP,c1976744c6cd11d892e2080020a0f4c9,51.2000000,-110.4000000,7-26-3-W4,Alberta,50000,1988-12-31,AB-Ministry of Culture and Status of Women
IAPVI,Acadia Valley,und,Undetermined,,Hamlet,Populated Place,UNP,0cffd708849c20c34b9349ffcf334414,51.1569445,-110.2097222,27-25-2-W4,Alberta,1000000,1951-11-01,AB-Ministry of Culture and Status of Women
IAPVJ,Acheson,und,Undetermined,,Locality,Populated Place,UNP,0d0b0db3849c20c3a3597b3ef475dce7,53.5502778,-113.7747222,4-53-26-W4,Alberta,250000,1974-12-31,AB-Ministry of Culture and Status of Women
IAPVO,Acme,und,Undetermined,,Village,Populated Place,VILG,6ba45943d05511d892e2080020a0f4c9,51.4972222,-113.5086111,19-29-25-W4,Alberta,1000000,1995-01-01,AB-Ministry of Culture and Status of Women
IAECS,Adair Creek,und,Undetermined,,Creek,Water Feature,RIV,0c841a93849c20c32688774e296c6168,59.0769444,-117.7330556,116-22-W5,Alberta,250000,1944-11-06,AB-Ministry of Culture and Status of Women
IAPVL,Adair Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89aaf3849c20c319d368c7d92e2025,49.9744444,-114.1566667,"1-12-1,2-W5",Alberta,250000,1941-12-17,AB-Ministry of Culture and Status of Women
IAPVM,Adams Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89aab3849c20c3c27f9c79cc608b0a,53.6911111,-118.5530556,54-4-W6,Alberta,250000,1955-02-02,AB-Ministry of Culture and Status of Women
IAPVN,Adams Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89ab3e849c20c33022045ee8b5323c,55.2138889,-115.3472222,9-72-9-W5,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IAPVP,Adams Creek Trail,und,Undetermined,,Trail,Constructed Feature,ROAD,a13588e7d05411d892e2080020a0f4c9,53.8211111,-118.7208333,"54,55-4,5-W6",Alberta,250000,1980-09-10,AB-Ministry of Culture and Status of Women
IBACW,Adams Lake,und,Undetermined,,Lake,Water Feature,LAKE,794f9cfc0a001204176e8e7659e466c6,52.0680556,-114.4847222,"2,3,10-36-4-W5",Alberta,50000,2012-11-19,AB-Ministry of Culture and Status of Women
IAECT,Adams Landing,und,Undetermined,,Locality,Populated Place,UNP,0c841b18849c20c366cf45e7f3efe0c3,58.3894444,-115.0769444,108-7-W5,Alberta,250000,1944-07-12,AB-Ministry of Culture and Status of Women
IAPVQ,Adams Lookout,und,Undetermined,,Lookout,Terrain Feature,MTN,0c89ab81849c20c322eb0da7529e7ce2,53.7258333,-118.5680556,55-4-W6,Alberta,250000,1955-02-02,AB-Ministry of Culture and Status of Women
